Column_1,ETid,Country,Column_4,Date of Decision,Fine [€],Controller/Processor,Column_8,Quoted Art.,Type,Column_11,Source,Column_13
,ETid-2899 | https://www.enforcementtracker.com/ETid-2899,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2025-10-15,"6,880,000",CAPITA PENSION SOLUTIONS LIMITED,Industry and Commerce,"Art. 32 (1), (2) UK GDPR",Insufficient technical and organisational measures to ensure information security,"The UK DPA has imposed a fine of £ 6,000,000 (EUR 6,880,000) on CAPITA PENSION SOLUTIONS LIMITED. CAPITA PENSION SOLUTIONS LIMITED acts as the data processor for the CAPITA Group, which has suffered a cyber attack. The processor failed to implement adeqaute technical and organisational measures to ensure data security and also failed to adequatly react to the incident.",link | https://ico.org.uk/media2/pv5nhks4/capita-plc-and-cpsl-monetary-penalty-notice.pdf,https://www.enforcementtracker.com/ETid-2899 (Copy: ) | Short URL: https://etid.link/ETid-2899 ETid 2899 | https://www.enforcementtracker.com/ETid-2899
,ETid-2898 | https://www.enforcementtracker.com/ETid-2898,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2025-10-15,"9,180,000",CAPITA PLC,Industry and Commerce,"Art. 5 (1) f) UK GDPR, Art. 32 (1), (2) UK GDPR",Insufficient technical and organisational measures to ensure information security,"The UK DPA has imposed a fine of £ 8,000,000 (EUR 9,180,000) on CAPITA PLC. CAPITA PLC acts as the data controller for the CAPITA Group, which has suffered a cyber attack. The controller failed to implement adeqaute technical and organisational measures to ensure data security and also failed to adequatly react to the incident.",link | https://ico.org.uk/media2/pv5nhks4/capita-plc-and-cpsl-monetary-penalty-notice.pdf,https://www.enforcementtracker.com/ETid-2898 (Copy: ) | Short URL: https://etid.link/ETid-2898 ETid 2898 | https://www.enforcementtracker.com/ETid-2898
,ETid-2885 | https://www.enforcementtracker.com/ETid-2885,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2025-08-04,230,Police Officer,Public Sector and Education,Unknown,Insufficient legal basis for data processing,The UK DPA has imposed a fine of £ 200 (EUR 230) on a police officer. The controller forwarded sensitive and restricted personal data that he had obtained in the course of his work to his personal email address.,link | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2025/08/guilty-police-conduct-investigator-fined-after-unlawfully-obtaining-sensitive-case-details/,https://www.enforcementtracker.com/ETid-2885 (Copy: ) | Short URL: https://etid.link/ETid-2885 ETid 2885 | https://www.enforcementtracker.com/ETid-2885
,ETid-2766 | https://www.enforcementtracker.com/ETid-2766,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2025-06-24,"20,725",Birthlink,Individuals and Private Associations,"Art. 5 (1) f), (2) GDPR, Art. 32 (1), (2) GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,"The UK DPA has imposed a fine of £ 18,000 (EUR 20,725) on Birthlink. The controller, a scottish registered charity, failed to implement sufficient technical and organisational measures to ensure data security, resulting in the loss of irreplaceable personal records.",link link | https://ico.org.uk/media2/bvljtpy2/birthlink-mpn.pdf,https://www.enforcementtracker.com/ETid-2766 (Copy: ) | Short URL: https://etid.link/ETid-2766 ETid 2766 | https://www.enforcementtracker.com/ETid-2766
,ETid-2656 | https://www.enforcementtracker.com/ETid-2656,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2025-06-05,"2,700,000","23andMe, Inc.",Health Care,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The UK DPA imposed a fine of £ 2,310,000 (EUR 2,700,000) on 23andMe, Inc. The controller, a company offering DNA testing to private individuals, failed to implement sufficient technical and organizational measures to ensure data security, especially in regards to the sensitivity of the processed data. As a result, a cyberattack occurred, which led to a data breach affecting 155,592 UK-based users over the course of at least five months. The DPA considered the controller's failure to identify the attack earlier and its failure to adequately inform the DPA about the breach as aggravating factors.",link link | https://ico.org.uk/media2/kclbljpo/23andme-penalty-notice.pdf,https://www.enforcementtracker.com/ETid-2656 (Copy: ) | Short URL: https://etid.link/ETid-2656 ETid 2656 | https://www.enforcementtracker.com/ETid-2656
,ETid-2566 | https://www.enforcementtracker.com/ETid-2566,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2025-04-14,"70,300",DPP Law Ltd.,"Finance, Insurance and Consulting","Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR, Art. 33 (1) GDPR",Insufficient technical and organisational measures to ensure information security,"The UK DPA (ICO) has imposed a fine of £ 60,000 (EUR 70,300) on the law firm DPP Law Ltd. The controller had suffered a cyber attack during which personal data of 791 clients and expert witnesses were exfiltrated and published on the dark web.

The DPA found that the controller failed to implement adequate technical and organisational measures to prevent such an attack, including the failure to regularly audit administrative accounts on its network, thereby infringing Art. 5 (1) f), 32 (1), and 32 (2) UK GDPR.

The controller also breached Art. 33 (1) UK GDPR by failing to notify the DPA within 72 hours, reporting the incident only 43 days later.",link | https://ico.org.uk/media2/pr4bg5hq/dpp-law-ltd-monetary-penalty-notice.pdf,https://www.enforcementtracker.com/ETid-2566 (Copy: ) | Short URL: https://etid.link/ETid-2566 ETid 2566 | https://www.enforcementtracker.com/ETid-2566
,ETid-2561 | https://www.enforcementtracker.com/ETid-2561,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2025-03-26,"3,500,000",Advanced Computer Software Group Ltd,Health Care,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,"The UK DPA (ICO) has fined Advanced Computer Software Group Ltd £3.07 million (EUR 3.5 million) for insufficient IT security (infringiment of Art. 32 (1) UK GDPR). The controller failed to implement appropriate technical and organisational measures to protect personal data. A ransomware attack in August 2022 allowed hackers to access systems of a health subsidiary via a customer account that lacked multi-factor authentication. As a result, the personal data of 79,404 individuals was put at risk.",link link | https://ico.org.uk/media2/gdlfddgc/advanced-penalty-notice-20250327.pdf,https://www.enforcementtracker.com/ETid-2561 (Copy: ) | Short URL: https://etid.link/ETid-2561 ETid 2561 | https://www.enforcementtracker.com/ETid-2561
,ETid-2555 | https://www.enforcementtracker.com/ETid-2555,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2024-09-26,"904,000",Police Service of Northern Ireland,Public Sector and Education,"Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,"The ICO fined the Police Service of Northern Ireland £750,000 (EUR 904,000) after accidentally publishing personal data of 9,483 police officers and staff on the internet. The breach caused significant distress for PSNI officers and staff, as their personal information, including names, ranks, roles, and location of post, was exposed. Many feared for their safety, with concerns that dissident groups could use the data to intimidate or target them, creating fear and uncertainty.",link link | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/10/what-price-privacy-poor-psni-procedures-culminate-in-750k-fine/,https://www.enforcementtracker.com/ETid-2555 (Copy: ) | Short URL: https://etid.link/ETid-2555 ETid 2555 | https://www.enforcementtracker.com/ETid-2555
,ETid-2317 | https://www.enforcementtracker.com/ETid-2317,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2024-04-30,"8,700",Central Young Men’s Christian Association,Individuals and Private Associations,"Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,"The UK DPA (ICO) has fined the Central Young Men’s Christian Association EUR 8,700. The controller had sent an email to individuals participating in a program for individuals suffering from HIV without using the blind copy option, which made the email addresses of all recipients known to other recipients. 166 individuals could be identified or potentially identified based on their email addresses. From this it could be concluded that these people were probably living with HIV.",link link | https://ico.org.uk/action-weve-taken/enforcement/the-central-young-men-s-christian-association-mpn/,https://www.enforcementtracker.com/ETid-2317 (Copy: ) | Short URL: https://etid.link/ETid-2317 ETid 2317 | https://www.enforcementtracker.com/ETid-2317
,ETid-2170 | https://www.enforcementtracker.com/ETid-2170,UNITED KINGDOM UNITED KINGDOM,Information Commissioner (ICO),2023-12-13,"400,000",UK Ministry of Defense,Public Sector and Education,Unknown,Insufficient technical and organisational measures to ensure information security,"The UK DPA has fined the Ministry of Defense EUR 400,000 for disclosing personal data of individuals who were to be relocated to the UK after the Taliban took control of Afghanistan in 2021. The Ministry of Defense had sent an email to a distribution list of Afghan nationals who were eligible for evacuation without hiding the e-mail adresses and thus revealing the personal e-mail addresses and personal data of the recipients to the other e-mail recipients. The ICO stated that if the data had fallen into the hands of the Taliban, it could have led to a threat to lives.",link | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2023/12/ico-fines-ministry-of-defence-for-afghan-evacuation-data-breach/,https://www.enforcementtracker.com/ETid-2170 (Copy: ) | Short URL: https://etid.link/ETid-2170 ETid 2170 | https://www.enforcementtracker.com/ETid-2170
